,SRO
3032.4MHz,6.78
3032.6MHz,6.78
3032.8MHz,6.78
3033.0MHz,6.78
3033.2MHz,6.78
3033.4MHz,6.78
3033.6MHz,6.78
3033.8MHz,6.78
3034.0MHz,6.78
3034.2MHz,5.08
3034.4MHz,5.08
3034.6MHz,3.39
3034.8MHz,3.39
3035.0MHz,3.39
3035.2MHz,3.39
3035.4MHz,3.39
3035.6MHz,3.39
3035.8MHz,1.69
3036.0MHz,1.69
3036.2MHz,1.69
3036.4MHz,1.69
3036.6MHz,1.69
3036.8MHz,1.69
3037.0MHz,1.69
3037.2MHz,3.39
3037.4MHz,3.39
3037.6MHz,1.69
3037.8MHz,1.69
3038.0MHz,1.69
3038.2MHz,1.69
3038.4MHz,1.69
3038.6MHz,1.69
3038.8MHz,1.69
3039.0MHz,1.69
3039.2MHz,1.69
3039.4MHz,1.69
3039.6MHz,1.69
3039.8MHz,1.69
3040.0MHz,1.69
3040.2MHz,1.69
3040.4MHz,1.69
3040.6MHz,3.39
3040.8MHz,3.39
3041.0MHz,3.39
3041.2MHz,3.39
3041.4MHz,3.39
3041.6MHz,3.39
3041.8MHz,3.39
3042.0MHz,3.39
3042.2MHz,3.39
3042.4MHz,3.39
3042.6MHz,3.39
3042.8MHz,3.39
3043.0MHz,3.39
3043.2MHz,3.39
3043.4MHz,3.39
3043.6MHz,3.39
3043.8MHz,3.39
3044.0MHz,3.39
3044.2MHz,3.39
3044.4MHz,3.39
3044.6MHz,3.39
3044.8MHz,3.39
3045.0MHz,3.39
3045.2MHz,3.39
3045.4MHz,3.39
3045.6MHz,3.39
3045.8MHz,3.39
3046.0MHz,3.39
3046.2MHz,3.39
3046.4MHz,3.39
3046.6MHz,3.39
3046.8MHz,3.39
3047.0MHz,3.39
3047.2MHz,3.39
3047.4MHz,5.08
3047.6MHz,6.78
3047.8MHz,6.78
3048.0MHz,6.78
3048.2MHz,8.47
3048.4MHz,10.17
3048.6MHz,8.47
3048.8MHz,5.08
3049.0MHz,5.08
3049.2MHz,3.39
3049.4MHz,3.39
3049.6MHz,3.39
3049.8MHz,3.39
3050.0MHz,3.39
3050.2MHz,3.39
3050.4MHz,3.39
3050.6MHz,3.39
3050.8MHz,3.39
3051.0MHz,8.47
3051.2MHz,8.47
3051.4MHz,10.17
3051.6MHz,10.17
3051.8MHz,8.47
3052.0MHz,6.78
3052.2MHz,3.39
3052.4MHz,3.39
3052.6MHz,3.39
3052.8MHz,3.39
3053.0MHz,3.39
3053.2MHz,3.39
3053.4MHz,1.69
3053.6MHz,1.69
3053.8MHz,1.69
3054.0MHz,0.0
3054.2MHz,0.0
3054.4MHz,0.0
3054.6MHz,0.0
3054.8MHz,0.0
3055.0MHz,0.0
3055.2MHz,0.0
3055.4MHz,0.0
3055.6MHz,0.0
3055.8MHz,0.0
3056.0MHz,0.0
3056.2MHz,0.0
3056.4MHz,0.0
3056.6MHz,0.0
3056.8MHz,1.69
3057.0MHz,1.69
3057.2MHz,1.69
3057.4MHz,3.39
3057.6MHz,3.39
3057.8MHz,5.08
3058.0MHz,6.78
3058.2MHz,6.78
3058.4MHz,6.78
3058.6MHz,8.47
3058.8MHz,10.17
3059.0MHz,10.17
3059.2MHz,10.17
3059.4MHz,10.17
3059.6MHz,10.17
3059.8MHz,10.17
3060.0MHz,10.17
3060.2MHz,10.17
3060.4MHz,10.17
3060.6MHz,10.17
3060.8MHz,10.17
3061.0MHz,10.17
3061.2MHz,10.17
3061.4MHz,10.17
3061.6MHz,10.17
3061.8MHz,10.17
3062.0MHz,10.17
3062.2MHz,10.17
3062.4MHz,10.17
3062.6MHz,10.17
3062.8MHz,10.17
3063.0MHz,10.17
3063.2MHz,10.17
3063.4MHz,10.17
3063.6MHz,10.17
3063.8MHz,10.17
3064.0MHz,10.17
3064.2MHz,10.17
3064.4MHz,10.17
3064.6MHz,10.17
3064.8MHz,10.17
3065.0MHz,10.17
3065.2MHz,10.17
3065.4MHz,10.17
3065.6MHz,10.17
3065.8MHz,10.17
3066.0MHz,10.17
3066.2MHz,10.17
3066.4MHz,10.17
3066.6MHz,10.17
3066.8MHz,10.17
3067.0MHz,10.17
3067.2MHz,10.17
3067.4MHz,10.17
3067.6MHz,10.17
3067.8MHz,10.17
3068.0MHz,10.17
3068.2MHz,10.17
3068.4MHz,10.17
3068.6MHz,10.17
3068.8MHz,10.17
3069.0MHz,10.17
3069.2MHz,10.17
3069.4MHz,10.17
3069.6MHz,10.17
3069.8MHz,10.17
3070.0MHz,10.17
3070.2MHz,10.17
3070.4MHz,10.17
3070.6MHz,10.17
3070.8MHz,10.17
3071.0MHz,10.17
3071.2MHz,10.17
3071.4MHz,10.17
3071.6MHz,10.17
3071.8MHz,10.17
3072.0MHz,10.17
3072.2MHz,10.17
3072.4MHz,10.17
3072.6MHz,10.17
3072.8MHz,10.17
3073.0MHz,10.17
3073.2MHz,10.17
3073.4MHz,10.17
3073.6MHz,10.17
3073.8MHz,10.17
3074.0MHz,10.17
3074.2MHz,10.17
3074.4MHz,10.17
3074.6MHz,10.17
3074.8MHz,10.17
3075.0MHz,10.17
3075.2MHz,10.17
3075.4MHz,10.17
3075.6MHz,10.17
3075.8MHz,10.17
3076.0MHz,10.17
3076.2MHz,10.17
3076.4MHz,10.17
3076.6MHz,10.17
3076.8MHz,10.17
3077.0MHz,10.17
3077.2MHz,10.17
3077.4MHz,8.47
3077.6MHz,8.47
3077.8MHz,8.47
3078.0MHz,8.47
3078.2MHz,8.47
3078.4MHz,8.47
3078.6MHz,8.47
3078.8MHz,8.47
3079.0MHz,8.47
3079.2MHz,8.47
3079.4MHz,8.47
3079.6MHz,8.47
3079.8MHz,8.47
3080.0MHz,8.47
3080.2MHz,8.47
3080.4MHz,8.47
3080.6MHz,8.47
3080.8MHz,8.47
3081.0MHz,8.47
3081.2MHz,8.47
3081.4MHz,8.47
3081.6MHz,8.47
3081.8MHz,8.47
3082.0MHz,8.47
3082.2MHz,8.47
3082.4MHz,8.47
3082.6MHz,8.47
3082.8MHz,8.47
3083.0MHz,8.47
3083.2MHz,8.47
3083.4MHz,8.47
3083.6MHz,8.47
3083.8MHz,6.78
3084.0MHz,5.08
3084.2MHz,3.39
3084.4MHz,3.39
3084.6MHz,3.39
3084.8MHz,3.39
3085.0MHz,3.39
3085.2MHz,1.69
3085.4MHz,1.69
3085.6MHz,1.69
3085.8MHz,1.69
3086.0MHz,1.69
3086.2MHz,1.69
3086.4MHz,1.69
3086.6MHz,1.69
3086.8MHz,1.69
3087.0MHz,1.69
3087.2MHz,1.69
3087.4MHz,1.69
3087.6MHz,1.69
3087.8MHz,1.69
3088.0MHz,1.69
3088.2MHz,1.69
3088.4MHz,1.69
3088.6MHz,1.69
3088.8MHz,1.69
3089.0MHz,1.69
3089.2MHz,1.69
3089.4MHz,1.69
3089.6MHz,1.69
3089.8MHz,1.69
3090.0MHz,1.69
3090.2MHz,1.69
3090.4MHz,1.69
3090.6MHz,1.69
3090.8MHz,1.69
3091.0MHz,1.69
3091.2MHz,1.69
3091.4MHz,1.69
3091.6MHz,1.69
3091.8MHz,1.69
3092.0MHz,1.69
3092.2MHz,1.69
3092.4MHz,1.69
3092.6MHz,1.69
3092.8MHz,1.69
3093.0MHz,1.69
3093.2MHz,3.39
3093.4MHz,3.39
3093.6MHz,3.39
3093.8MHz,3.39
3094.0MHz,3.39
3094.2MHz,3.39
3094.4MHz,3.39
3094.6MHz,3.39
3094.8MHz,3.39
3095.0MHz,3.39
3095.2MHz,3.39
3095.4MHz,3.39
3095.6MHz,3.39
3095.8MHz,3.39
3096.0MHz,3.39
3096.2MHz,3.39
3096.4MHz,3.39
3096.6MHz,3.39
3096.8MHz,3.39
3097.0MHz,3.39
3097.2MHz,3.39
3097.4MHz,6.78
3097.6MHz,8.47
3097.8MHz,8.47
3098.0MHz,8.47
3098.2MHz,8.47
3098.4MHz,11.86
3098.6MHz,11.86
3098.8MHz,10.17
3099.0MHz,5.08
3099.2MHz,3.39
3099.4MHz,3.39
3099.6MHz,3.39
3099.8MHz,3.39
3100.0MHz,1.69
3100.2MHz,1.69
3100.4MHz,3.39
3100.6MHz,5.08
3100.8MHz,8.47
3101.0MHz,13.56
3101.2MHz,15.25
3101.4MHz,18.64
3101.6MHz,20.34
3101.8MHz,18.64
3102.0MHz,11.86
3102.2MHz,10.17
3102.4MHz,6.78
3102.6MHz,5.08
3102.8MHz,1.69
3103.0MHz,1.69
3103.2MHz,1.69
3103.4MHz,0.0
3103.6MHz,0.0
3103.8MHz,1.69
3104.0MHz,5.08
3104.2MHz,5.08
3104.4MHz,5.08
3104.6MHz,5.08
3104.8MHz,5.08
3105.0MHz,5.08
3105.2MHz,5.08
3105.4MHz,6.78
3105.6MHz,6.78
3105.8MHz,6.78
3106.0MHz,6.78
3106.2MHz,6.78
3106.4MHz,6.78
3106.6MHz,6.78
3106.8MHz,8.47
3107.0MHz,8.47
3107.2MHz,10.17
3107.4MHz,10.17
3107.6MHz,13.56
3107.8MHz,13.56
3108.0MHz,13.56
3108.2MHz,13.56
3108.4MHz,13.56
3108.6MHz,13.56
3108.8MHz,13.56
3109.0MHz,15.25
3109.2MHz,15.25
3109.4MHz,16.95
3109.6MHz,16.95
3109.8MHz,16.95
3110.0MHz,16.95
3110.2MHz,16.95
3110.4MHz,16.95
3110.6MHz,16.95
3110.8MHz,16.95
3111.0MHz,16.95
3111.2MHz,18.64
3111.4MHz,18.64
3111.6MHz,18.64
3111.8MHz,18.64
3112.0MHz,18.64
3112.2MHz,18.64
3112.4MHz,18.64
3112.6MHz,18.64
3112.8MHz,18.64
3113.0MHz,18.64
3113.2MHz,18.64
3113.4MHz,18.64
3113.6MHz,18.64
3113.8MHz,18.64
3114.0MHz,18.64
3114.2MHz,18.64
3114.4MHz,18.64
3114.6MHz,18.64
3114.8MHz,18.64
3115.0MHz,18.64
3115.2MHz,18.64
3115.4MHz,18.64
3115.6MHz,18.64
3115.8MHz,18.64
3116.0MHz,18.64
3116.2MHz,18.64
3116.4MHz,18.64
3116.6MHz,18.64
3116.8MHz,18.64
3117.0MHz,18.64
3117.2MHz,18.64
3117.4MHz,18.64
3117.6MHz,18.64
3117.8MHz,18.64
3118.0MHz,18.64
3118.2MHz,18.64
3118.4MHz,18.64
3118.6MHz,18.64
3118.8MHz,18.64
3119.0MHz,18.64
3119.2MHz,18.64
3119.4MHz,18.64
3119.6MHz,18.64
3119.8MHz,18.64
3120.0MHz,18.64
3120.2MHz,18.64
3120.4MHz,18.64
3120.6MHz,18.64
3120.8MHz,18.64
3121.0MHz,18.64
3121.2MHz,18.64
3121.4MHz,18.64
3121.6MHz,18.64
3121.8MHz,18.64
3122.0MHz,18.64
3122.2MHz,18.64
3122.4MHz,18.64
3122.6MHz,18.64
3122.8MHz,18.64
3123.0MHz,18.64
3123.2MHz,18.64
3123.4MHz,18.64
3123.6MHz,18.64
3123.8MHz,18.64
3124.0MHz,18.64
3124.2MHz,18.64
3124.4MHz,18.64
3124.6MHz,18.64
3124.8MHz,18.64
3125.0MHz,18.64
3125.2MHz,18.64
3125.4MHz,18.64
3125.6MHz,18.64
3125.8MHz,18.64
3126.0MHz,18.64
3126.2MHz,18.64
3126.4MHz,18.64
3126.6MHz,18.64
3126.8MHz,18.64
3127.0MHz,18.64
3127.2MHz,18.64
3127.4MHz,18.64
3127.6MHz,18.64
3127.8MHz,18.64
3128.0MHz,16.95
3128.2MHz,16.95
3128.4MHz,18.64
3128.6MHz,18.64
3128.8MHz,18.64
3129.0MHz,18.64
3129.2MHz,18.64
3129.4MHz,18.64
3129.6MHz,18.64
3129.8MHz,18.64
3130.0MHz,18.64
3130.2MHz,18.64
3130.4MHz,15.25
3130.6MHz,13.56
3130.8MHz,11.86
3131.0MHz,11.86
3131.2MHz,11.86
3131.4MHz,11.86
3131.6MHz,11.86
3131.8MHz,11.86
3132.0MHz,11.86
3132.2MHz,11.86
3132.4MHz,11.86
3132.6MHz,11.86
3132.8MHz,11.86
3133.0MHz,11.86
3133.2MHz,11.86
3133.4MHz,11.86
3133.6MHz,11.86
3133.8MHz,11.86
3134.0MHz,11.86
3134.2MHz,8.47
3134.4MHz,8.47
3134.6MHz,8.47
3134.8MHz,8.47
3135.0MHz,5.08
3135.2MHz,3.39
3135.4MHz,1.69
3135.6MHz,1.69
3135.8MHz,1.69
3136.0MHz,1.69
3136.2MHz,1.69
3136.4MHz,1.69
3136.6MHz,1.69
3136.8MHz,1.69
3137.0MHz,1.69
3137.2MHz,1.69
3137.4MHz,1.69
3137.6MHz,1.69
3137.8MHz,1.69
3138.0MHz,0.0
3138.2MHz,0.0
3138.4MHz,0.0
3138.6MHz,0.0
3138.8MHz,1.69
3139.0MHz,1.69
3139.2MHz,1.69
3139.4MHz,1.69
3139.6MHz,1.69
3139.8MHz,1.69
3140.0MHz,1.69
3140.2MHz,1.69
3140.4MHz,1.69
3140.6MHz,1.69
3140.8MHz,1.69
3141.0MHz,1.69
3141.2MHz,1.69
3141.4MHz,1.69
3141.6MHz,1.69
3141.8MHz,1.69
3142.0MHz,1.69
3142.2MHz,1.69
3142.4MHz,1.69
3142.6MHz,1.69
3142.8MHz,1.69
3143.0MHz,1.69
3143.2MHz,3.39
3143.4MHz,3.39
3143.6MHz,3.39
3143.8MHz,3.39
3144.0MHz,3.39
3144.2MHz,3.39
3144.4MHz,3.39
3144.6MHz,3.39
3144.8MHz,3.39
3145.0MHz,3.39
3145.2MHz,3.39
3145.4MHz,3.39
3145.6MHz,3.39
3145.8MHz,3.39
3146.0MHz,3.39
3146.2MHz,5.08
3146.4MHz,5.08
3146.6MHz,5.08
3146.8MHz,6.78
3147.0MHz,8.47
3147.2MHz,11.86
3147.4MHz,15.25
3147.6MHz,15.25
3147.8MHz,15.25
3148.0MHz,16.95
3148.2MHz,18.64
3148.4MHz,20.34
3148.6MHz,15.25
3148.8MHz,15.25
3149.0MHz,11.86
3149.2MHz,8.47
3149.4MHz,5.08
3149.6MHz,3.39
3149.8MHz,1.69
3150.0MHz,1.69
3150.2MHz,3.39
3150.4MHz,3.39
3150.6MHz,3.39
3150.8MHz,5.08
3151.0MHz,5.08
3151.2MHz,6.78
3151.4MHz,13.56
3151.6MHz,10.17
3151.8MHz,6.78
3152.0MHz,5.08
3152.2MHz,5.08
3152.4MHz,1.69
3152.6MHz,0.0
3152.8MHz,0.0
3153.0MHz,0.0
3153.2MHz,0.0
3153.4MHz,0.0
3153.6MHz,0.0
3153.8MHz,0.0
3154.0MHz,0.0
3154.2MHz,0.0
3154.4MHz,0.0
3154.6MHz,0.0
3154.8MHz,0.0
3155.0MHz,0.0
3155.2MHz,0.0
3155.4MHz,0.0
3155.6MHz,0.0
3155.8MHz,0.0
3156.0MHz,0.0
3156.2MHz,0.0
3156.4MHz,0.0
3156.6MHz,0.0
3156.8MHz,0.0
3157.0MHz,0.0
3157.2MHz,1.69
3157.4MHz,3.39
3157.6MHz,3.39
3157.8MHz,3.39
3158.0MHz,3.39
3158.2MHz,3.39
3158.4MHz,3.39
3158.6MHz,3.39
3158.8MHz,3.39
3159.0MHz,3.39
3159.2MHz,3.39
3159.4MHz,3.39
3159.6MHz,3.39
3159.8MHz,3.39
3160.0MHz,3.39
3160.2MHz,3.39
3160.4MHz,3.39
3160.6MHz,3.39
3160.8MHz,3.39
3161.0MHz,5.08
3161.2MHz,6.78
3161.4MHz,6.78
3161.6MHz,6.78
3161.8MHz,6.78
3162.0MHz,6.78
3162.2MHz,6.78
3162.4MHz,6.78
3162.6MHz,6.78
3162.8MHz,6.78
3163.0MHz,6.78
3163.2MHz,6.78
3163.4MHz,6.78
3163.6MHz,6.78
3163.8MHz,6.78
3164.0MHz,6.78
3164.2MHz,6.78
3164.4MHz,6.78
3164.6MHz,6.78
3164.8MHz,6.78
3165.0MHz,6.78
3165.2MHz,6.78
3165.4MHz,6.78
3165.6MHz,6.78
3165.8MHz,6.78
3166.0MHz,6.78
3166.2MHz,6.78
3166.4MHz,6.78
3166.6MHz,6.78
3166.8MHz,6.78
3167.0MHz,6.78
3167.2MHz,6.78
3167.4MHz,6.78
3167.6MHz,6.78
3167.8MHz,6.78
3168.0MHz,6.78
3168.2MHz,6.78
3168.4MHz,6.78
3168.6MHz,6.78
3168.8MHz,6.78
3169.0MHz,6.78
3169.2MHz,6.78
3169.4MHz,6.78
3169.6MHz,6.78
3169.8MHz,6.78
3170.0MHz,6.78
3170.2MHz,6.78
3170.4MHz,6.78
3170.6MHz,6.78
3170.8MHz,6.78
3171.0MHz,6.78
3171.2MHz,6.78
3171.4MHz,6.78
3171.6MHz,6.78
3171.8MHz,6.78
3172.0MHz,6.78
3172.2MHz,6.78
3172.4MHz,6.78
3172.6MHz,6.78
3172.8MHz,6.78
3173.0MHz,6.78
3173.2MHz,6.78
3173.4MHz,6.78
3173.6MHz,6.78
3173.8MHz,6.78
3174.0MHz,6.78
3174.2MHz,6.78
3174.4MHz,6.78
3174.6MHz,6.78
3174.8MHz,6.78
3175.0MHz,6.78
3175.2MHz,6.78
3175.4MHz,6.78
3175.6MHz,6.78
3175.8MHz,6.78
3176.0MHz,6.78
3176.2MHz,6.78
3176.4MHz,6.78
3176.6MHz,6.78
3176.8MHz,6.78
3177.0MHz,6.78
3177.2MHz,6.78
3177.4MHz,6.78
3177.6MHz,6.78
3177.8MHz,6.78
3178.0MHz,6.78
3178.2MHz,6.78
3178.4MHz,6.78
3178.6MHz,6.78
3178.8MHz,6.78
3179.0MHz,6.78
3179.2MHz,6.78
3179.4MHz,6.78
3179.6MHz,6.78
3179.8MHz,6.78
3180.0MHz,6.78
3180.2MHz,6.78
3180.4MHz,6.78
3180.6MHz,6.78
3180.8MHz,6.78
3181.0MHz,6.78
3181.2MHz,6.78
3181.4MHz,6.78
3181.6MHz,6.78
3181.8MHz,6.78
3182.0MHz,6.78
3182.2MHz,6.78
3182.4MHz,6.78
3182.6MHz,6.78
3182.8MHz,6.78
3183.0MHz,6.78
3183.2MHz,6.78
3183.4MHz,6.78
3183.6MHz,6.78
3183.8MHz,6.78
3184.0MHz,6.78
3184.2MHz,6.78
3184.4MHz,6.78
3184.6MHz,6.78
3184.8MHz,5.08
3185.0MHz,5.08
3185.2MHz,1.69
3185.4MHz,0.0
3185.6MHz,0.0
3185.8MHz,0.0
3186.0MHz,0.0
3186.2MHz,0.0
3186.4MHz,0.0
3186.6MHz,0.0
3186.8MHz,0.0
3187.0MHz,0.0
3187.2MHz,0.0
3187.4MHz,0.0
3187.6MHz,0.0
3187.8MHz,0.0
3188.0MHz,0.0
3188.2MHz,0.0
3188.4MHz,0.0
3188.6MHz,0.0
3188.8MHz,0.0
3189.0MHz,0.0
3189.2MHz,0.0
3189.4MHz,0.0
3189.6MHz,0.0
3189.8MHz,0.0
3190.0MHz,0.0
3190.2MHz,0.0
3190.4MHz,0.0
3190.6MHz,0.0
3190.8MHz,0.0
3191.0MHz,0.0
3191.2MHz,0.0
3191.4MHz,0.0
3191.6MHz,0.0
3191.8MHz,0.0
3192.0MHz,0.0
3192.2MHz,0.0
3192.4MHz,1.69
3192.6MHz,1.69
3192.8MHz,1.69
3193.0MHz,1.69
3193.2MHz,1.69
3193.4MHz,1.69
3193.6MHz,3.39
3193.8MHz,3.39
3194.0MHz,3.39
3194.2MHz,3.39
3194.4MHz,3.39
3194.6MHz,3.39
3194.8MHz,3.39
3195.0MHz,3.39
3195.2MHz,3.39
3195.4MHz,3.39
3195.6MHz,3.39
3195.8MHz,3.39
3196.0MHz,3.39
3196.2MHz,3.39
3196.4MHz,3.39
3196.6MHz,3.39
3196.8MHz,5.08
3197.0MHz,5.08
3197.2MHz,6.78
3197.4MHz,6.78
3197.6MHz,6.78
3197.8MHz,6.78
3198.0MHz,6.78
3198.2MHz,6.78
3198.4MHz,11.86
3198.6MHz,11.86
3198.8MHz,8.47
3199.0MHz,5.08
3199.2MHz,3.39
3199.4MHz,3.39
3199.6MHz,3.39
3199.8MHz,1.69
3200.0MHz,5.08
3200.2MHz,5.08
3200.4MHz,5.08
3200.6MHz,6.78
3200.8MHz,11.86
3201.0MHz,11.86
3201.2MHz,13.56
3201.4MHz,20.34
3201.6MHz,23.73
3201.8MHz,13.56
3202.0MHz,11.86
3202.2MHz,8.47
3202.4MHz,5.08
3202.6MHz,5.08
3202.8MHz,5.08
3203.0MHz,3.39
3203.2MHz,3.39
3203.4MHz,1.69
3203.6MHz,1.69
3203.8MHz,1.69
3204.0MHz,1.69
3204.2MHz,1.69
3204.4MHz,1.69
3204.6MHz,1.69
3204.8MHz,1.69
3205.0MHz,1.69
3205.2MHz,1.69
3205.4MHz,1.69
3205.6MHz,1.69
3205.8MHz,1.69
3206.0MHz,1.69
3206.2MHz,1.69
3206.4MHz,1.69
3206.6MHz,0.0
3206.8MHz,0.0
3207.0MHz,6.78
3207.2MHz,6.78
3207.4MHz,8.47
3207.6MHz,8.47
3207.8MHz,10.17
3208.0MHz,10.17
3208.2MHz,10.17
3208.4MHz,11.86
3208.6MHz,15.25
3208.8MHz,15.25
3209.0MHz,15.25
3209.2MHz,15.25
3209.4MHz,16.95
3209.6MHz,16.95
3209.8MHz,18.64
3210.0MHz,18.64
3210.2MHz,18.64
3210.4MHz,18.64
3210.6MHz,18.64
3210.8MHz,18.64
3211.0MHz,18.64
3211.2MHz,18.64
3211.4MHz,18.64
3211.6MHz,18.64
3211.8MHz,18.64
3212.0MHz,18.64
3212.2MHz,18.64
3212.4MHz,18.64
3212.6MHz,18.64
3212.8MHz,18.64
3213.0MHz,18.64
3213.2MHz,18.64
3213.4MHz,18.64
3213.6MHz,18.64
3213.8MHz,18.64
3214.0MHz,18.64
3214.2MHz,18.64
3214.4MHz,18.64
3214.6MHz,18.64
3214.8MHz,18.64
3215.0MHz,18.64
3215.2MHz,18.64
3215.4MHz,18.64
3215.6MHz,18.64
3215.8MHz,18.64
3216.0MHz,18.64
3216.2MHz,18.64
3216.4MHz,18.64
3216.6MHz,18.64
3216.8MHz,18.64
3217.0MHz,18.64
3217.2MHz,18.64
3217.4MHz,18.64
3217.6MHz,18.64
3217.8MHz,18.64
3218.0MHz,18.64
3218.2MHz,18.64
3218.4MHz,18.64
3218.6MHz,18.64
3218.8MHz,18.64
3219.0MHz,18.64
3219.2MHz,18.64
3219.4MHz,18.64
3219.6MHz,18.64
3219.8MHz,18.64
3220.0MHz,18.64
3220.2MHz,18.64
3220.4MHz,18.64
3220.6MHz,18.64
3220.8MHz,18.64
3221.0MHz,18.64
3221.2MHz,18.64
3221.4MHz,18.64
3221.6MHz,18.64
3221.8MHz,18.64
3222.0MHz,18.64
3222.2MHz,18.64
3222.4MHz,18.64
3222.6MHz,18.64
3222.8MHz,18.64
3223.0MHz,18.64
3223.2MHz,18.64
3223.4MHz,18.64
3223.6MHz,18.64
3223.8MHz,18.64
3224.0MHz,18.64
3224.2MHz,18.64
3224.4MHz,18.64
3224.6MHz,18.64
3224.8MHz,18.64
3225.0MHz,18.64
3225.2MHz,18.64
3225.4MHz,18.64
3225.6MHz,18.64
3225.8MHz,18.64
3226.0MHz,18.64
3226.2MHz,18.64
3226.4MHz,18.64
3226.6MHz,18.64
3226.8MHz,18.64
3227.0MHz,18.64
3227.2MHz,18.64
3227.4MHz,16.95
3227.6MHz,15.25
3227.8MHz,15.25
3228.0MHz,15.25
3228.2MHz,15.25
3228.4MHz,15.25
3228.6MHz,15.25
3228.8MHz,15.25
3229.0MHz,15.25
3229.2MHz,15.25
3229.4MHz,15.25
3229.6MHz,15.25
3229.8MHz,15.25
3230.0MHz,15.25
3230.2MHz,15.25
3230.4MHz,15.25
3230.6MHz,15.25
3230.8MHz,15.25
3231.0MHz,15.25
3231.2MHz,15.25
3231.4MHz,15.25
3231.6MHz,15.25
3231.8MHz,15.25
3232.0MHz,15.25
3232.2MHz,15.25
3232.4MHz,15.25
3232.6MHz,15.25
3232.8MHz,15.25
3233.0MHz,15.25
3233.2MHz,15.25
3233.4MHz,15.25
3233.6MHz,13.56
3233.8MHz,13.56
3234.0MHz,13.56
3234.2MHz,11.86
3234.4MHz,10.17
3234.6MHz,10.17
3234.8MHz,10.17
3235.0MHz,8.47
3235.2MHz,6.78
3235.4MHz,5.08
3235.6MHz,3.39
3235.8MHz,3.39
3236.0MHz,3.39
3236.2MHz,3.39
3236.4MHz,3.39
3236.6MHz,3.39
3236.8MHz,3.39
3237.0MHz,3.39
3237.2MHz,3.39
3237.4MHz,3.39
3237.6MHz,3.39
3237.8MHz,3.39
3238.0MHz,3.39
3238.2MHz,3.39
3238.4MHz,3.39
3238.6MHz,3.39
3238.8MHz,3.39
3239.0MHz,3.39
3239.2MHz,3.39
3239.4MHz,3.39
3239.6MHz,3.39
3239.8MHz,3.39
3240.0MHz,3.39
3240.2MHz,3.39
3240.4MHz,3.39
3240.6MHz,3.39
3240.8MHz,3.39
3241.0MHz,3.39
3241.2MHz,3.39
3241.4MHz,3.39
3241.6MHz,3.39
3241.8MHz,3.39
3242.0MHz,3.39
3242.2MHz,3.39
3242.4MHz,3.39
3242.6MHz,3.39
3242.8MHz,3.39
3243.0MHz,3.39
3243.2MHz,3.39
3243.4MHz,3.39
3243.6MHz,3.39
3243.8MHz,3.39
3244.0MHz,3.39
3244.2MHz,3.39
3244.4MHz,3.39
3244.6MHz,3.39
3244.8MHz,3.39
3245.0MHz,3.39
3245.2MHz,3.39
3245.4MHz,3.39
3245.6MHz,3.39
3245.8MHz,3.39
3246.0MHz,3.39
3246.2MHz,3.39
3246.4MHz,5.08
3246.6MHz,5.08
3246.8MHz,5.08
3247.0MHz,11.86
3247.2MHz,11.86
3247.4MHz,11.86
3247.6MHz,11.86
3247.8MHz,13.56
3248.0MHz,13.56
3248.2MHz,18.64
3248.4MHz,22.03
3248.6MHz,16.95
3248.8MHz,15.25
3249.0MHz,11.86
3249.2MHz,6.78
3249.4MHz,6.78
3249.6MHz,5.08
3249.8MHz,5.08
3250.0MHz,5.08
3250.2MHz,5.08
3250.4MHz,5.08
3250.6MHz,5.08
3250.8MHz,10.17
3251.0MHz,8.47
3251.2MHz,16.95
3251.4MHz,15.25
3251.6MHz,15.25
3251.8MHz,15.25
3252.0MHz,15.25
3252.2MHz,6.78
3252.4MHz,6.78
3252.6MHz,6.78
3252.8MHz,5.08
3253.0MHz,3.39
3253.2MHz,3.39
3253.4MHz,1.69
3253.6MHz,1.69
3253.8MHz,3.39
3254.0MHz,3.39
3254.2MHz,3.39
3254.4MHz,6.78
3254.6MHz,6.78
3254.8MHz,5.08
3255.0MHz,5.08
3255.2MHz,6.78
3255.4MHz,8.47
3255.6MHz,8.47
3255.8MHz,8.47
3256.0MHz,8.47
3256.2MHz,8.47
3256.4MHz,8.47
3256.6MHz,8.47
3256.8MHz,8.47
3257.0MHz,8.47
3257.2MHz,8.47
3257.4MHz,10.17
3257.6MHz,10.17
3257.8MHz,11.86
3258.0MHz,13.56
3258.2MHz,15.25
3258.4MHz,15.25
3258.6MHz,15.25
3258.8MHz,16.95
3259.0MHz,18.64
3259.2MHz,18.64
3259.4MHz,18.64
3259.6MHz,18.64
3259.8MHz,18.64
3260.0MHz,18.64
3260.2MHz,18.64
3260.4MHz,18.64
3260.6MHz,18.64
3260.8MHz,20.34
3261.0MHz,20.34
3261.2MHz,22.03
3261.4MHz,22.03
3261.6MHz,22.03
3261.8MHz,22.03
3262.0MHz,22.03
3262.2MHz,22.03
3262.4MHz,22.03
3262.6MHz,22.03
3262.8MHz,22.03
3263.0MHz,22.03
3263.2MHz,22.03
3263.4MHz,22.03
3263.6MHz,22.03
3263.8MHz,22.03
3264.0MHz,22.03
3264.2MHz,22.03
3264.4MHz,22.03
3264.6MHz,22.03
3264.8MHz,22.03
3265.0MHz,22.03
3265.2MHz,22.03
3265.4MHz,22.03
